Aislamiento,Longitud promedio cruda (bp),Longitud promedio filtrada (bp),Read N50 crudo (bp),Read N50 filtrado (bp),Calidad promedio cruda,Calidad promedio filtrada,Reads crudas,Reads filtradas,Bases crudas,Bases filtradas,GC crudo (%),GC filtrado (%),Duplicados crudo (%),Duplicados filtrado (%),Retención reads (%),Retención bases (%),Cambio Phred,Cambio N50 (bp),Cambio longitud promedio (bp),Cambio duplicados (%)
Blood_P11,3085.6,4666.1,6326,6667,11.4,11.8,23.38,14.61,72.13,68.19,64,65,2.04,1.39,62.52,94.54,0.4,341,1580.5,-0.66
Rectal_1_P12,5387.3,7652.6,11808,12106,11.5,11.9,24.64,17,132.72,130.13,65,65,2.65,1.34,69.03,98.05,0.4,298,2265.3,-1.31
Rectal_2_P12,5838.6,8495.5,12721,12978,11.6,12.2,16.7,11.27,97.53,95.72,65,65,1.82,1.63,67.45,98.15,0.6,257,2656.9,-0.19
Rectal_P11,6127.4,8509.5,13394,13619,11.8,12.4,27,19.06,165.43,162.17,57,57,2.27,2.07,70.59,98.03,0.6,225,2382.1,-0.2
Rectal_P2,9387.4,11519.3,18915,19073,10.7,10.8,69.43,56.14,651.81,646.72,66,66,0.57,0.07,80.86,99.22,0.1,158,2131.9,-0.5
Rectal_P3,5425.7,7495.7,11195,11402,10.5,10.5,30.02,21.37,162.86,160.16,65,65,3.01,0.26,71.18,98.34,0,207,2070,-2.76
Rectal_P9,5493.5,8729.5,13960,14329,11.4,12.2,13.63,8.38,74.89,73.12,65,65,1.34,0.98,61.44,97.63,0.8,369,3236,-0.36
Sputum_P3,5209.2,9641.7,16396,16807,11.1,11.5,16.46,8.67,85.73,83.62,65,65,2.76,0.69,52.7,97.54,0.4,411,4432.5,-2.07
Tracheal_discharge_P2,6365.3,9430.2,16187,16526,10.7,10.8,27.59,18.28,175.62,172.41,66,66,1.32,0.06,66.27,98.17,0.1,339,3064.9,-1.26
Tracheal_discharge_P9,3932.6,5924.1,8902,9383,11.4,11.8,29.66,18.85,116.63,111.67,65,65,3.18,2.14,63.56,95.75,0.4,481,1991.5,-1.04
Urine_2_P12,4124.2,7237.2,11223,11780,11.3,11.8,19.46,10.72,80.26,77.58,65,65,2.57,0.91,55.09,96.67,0.5,557,3113,-1.66
Wound_2_P12,4896.1,7963.4,12305,12692,11.3,12.1,18.24,10.91,89.29,86.91,65,65,1.69,1.27,59.84,97.33,0.8,387,3067.3,-0.42
